WKT,STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y
"POINT (176.720028241547 -38.8397426166291)",OPEN,Upper Te Hoe Hut,Buildings,Standard Hut,176.720028242,-38.8397426166
"POINT (176.723689875921 -38.7478297859486)",OPEN,Moerangi Hut,Buildings,Standard Hut,176.723689876,-38.7478297859
"POINT (176.766514044774 -38.8668313875155)",OPEN,Central Te Hoe Hut,Buildings,Standard Hut,176.766514045,-38.8668313875
"POINT (176.672980263825 -38.8124450897462)",OPEN,Upper Whirinaki Hut,Buildings,Standard Hut,176.672980264,-38.8124450897
"POINT (171.430229139832 -43.0532513789941)",OPEN,Avoca Hut,Buildings,Basic Hut/bivvy,171.43022914,-43.053251379
"POINT (176.65299455904 -38.7707993259114)",OPEN,Central Whirinaki Hut,Buildings,Serviced Hut,176.652994559,-38.7707993259
"POINT (167.977689108799 -46.928547271105)",OPEN,FREDS CAMP HUT,Buildings,Standard Hut,167.977689109,-46.9285472711
"POINT (171.478667689105 -43.1014867875033)",OPEN,Basins Hut,Buildings,Standard Hut,171.478667689,-43.1014867875
"POINT (167.880980168187 -46.9821943124858)",OPEN,RAKEAHUA HUT,Buildings,Standard Hut,167.880980168,-46.9821943125
"POINT (168.210863735742 -47.0169523083903)",OPEN,CHEW TOBACCO HUNTERS HUT,Buildings,Basic Hut/bivvy,168.210863736,-47.0169523084
"POINT (171.630113073036 -42.9226362853154)",OPEN,Mingha Bivvy,Buildings,Basic Hut/bivvy,171.630113073,-42.9226362853
"POINT (167.706051338949 -47.0312877369715)",OPEN,DOUGHBOY BAY HUT,Buildings,Standard Hut,167.706051339,-47.031287737
"POINT (167.984240462866 -46.935622121645)",OPEN,SOUTHWEST ARM HUNTERS HUT,Buildings,Basic Hut/bivvy,167.984240463,-46.9356221216
"POINT (172.291504852026 -43.1422211099448)",OPEN,Bob's Camp Bivvy,Buildings,Basic Hut/bivvy,172.291504852,-43.1422211099
"POINT (175.07527311277 -41.325922153688)",OPEN,Wharepapa Hut,Buildings,Basic Hut/bivvy,175.075273113,-41.3259221537
"POINT (175.106569184807 -41.256630088224)",OPEN,Waiorongomai Hut,Buildings,Basic Hut/bivvy,175.106569185,-41.2566300882
"POINT (175.155482073944 -40.9168996314716)",OPEN,Kapakapanui Hut,Buildings,Standard Hut,175.155482074,-40.9168996315
"POINT (175.23222124931 -40.8733654111787)",OPEN,Parawai Lodge,Buildings,Standard Hut,175.232221249,-40.8733654112
"POINT (176.87893312927 -38.3626524655287)",OPEN,Duckville Hut,Buildings,Basic Hut/bivvy,176.878933129,-38.3626524655
"POINT (173.00163998233 -40.9640204118451)",OPEN,Holyoakes Shelter,Buildings,Basic Hut/bivvy,173.001639982,-40.9640204118
"POINT (175.32508788545 -41.0101517737773)",OPEN,Tutuwai Hut,Buildings,Serviced Hut,175.325087885,-41.0101517738
"POINT (175.596732043846 -39.14458459094)",OPEN,Mangatepopo Hut,Buildings,Great Walk Hut,175.596732044,-39.1445845909
"POINT (172.110700783632 -40.9865970848685)",OPEN,Heaphy Hut,Buildings,Great Walk Hut,172.110700784,-40.9865970849
"POINT (172.28962475639 -42.3049528370379)",OPEN,Manson-Nicholls Memorial Hut,Buildings,Serviced Hut,172.289624756,-42.304952837
"POINT (172.457328686896 -42.3043740781829)",OPEN,Ada Pass Hut,Buildings,Serviced Hut,172.457328687,-42.3043740782
"POINT (172.429876902953 -42.3267381908111)",OPEN,Cannibal Gorge Hut,Buildings,Serviced Hut,172.429876903,-42.3267381908
"POINT (170.568549312879 -43.3766967125903)",OPEN,Scone Hut,Buildings,Standard Hut,170.568549313,-43.3766967126
"POINT (171.274289814586 -42.9062709716994)",OPEN,Browning Range Biv,Buildings,Basic Hut/bivvy,171.274289815,-42.9062709717
"POINT (171.486867652256 -42.7861071616195)",OPEN,Dillon Hut,Buildings,Standard Hut,171.486867652,-42.7861071616
"POINT (171.04356073612 -43.0495887835797)",OPEN,Frew Hut,Buildings,Standard Hut,171.043560736,-43.0495887836
"POINT (170.869504781651 -43.0588879429055)",OPEN,Dickie Spur Hut,Buildings,Basic Hut/bivvy,170.869504782,-43.0588879429
"POINT (170.936624468822 -43.0292865324271)",OPEN,Mikonui Spur Bivvy,Buildings,Basic Hut/bivvy,170.936624469,-43.0292865324
"POINT (170.371527782984 -43.4432953279228)",OPEN,Whymper Hut,Buildings,Standard Hut,170.371527783,-43.4432953279
"POINT (171.267779002007 -42.8789326380385)",OPEN,Newton Range Bivvy,Buildings,Basic Hut/bivvy,171.267779002,-42.878932638
"POINT (170.805623652302 -43.1400983800057)",OPEN,Moonbeam Hut,Buildings,Basic Hut/bivvy,170.805623652,-43.14009838
"POINT (171.305641519021 -42.8380853397559)",OPEN,Lower Olderog Bivvy,Buildings,Basic Hut/bivvy,171.305641519,-42.8380853398
"POINT (171.233619224934 -42.9603461408531)",OPEN,Crawford Junction Hut,Buildings,Basic Hut/bivvy,171.233619225,-42.9603461409
"POINT (170.822931359769 -43.063981046546)",OPEN,Polluck Creek Hut,Buildings,Basic Hut/bivvy,170.82293136,-43.0639810465
"POINT (171.354188031344 -42.8982267169156)",OPEN,Campbell Bivvy,Buildings,Basic Hut/bivvy,171.354188031,-42.8982267169
"POINT (172.338031609494 -42.3249028391003)",OPEN,Pell Stream Hut,Buildings,Basic Hut/bivvy,172.338031609,-42.3249028391
"POINT (172.131761738912 -42.0707569580012)",OPEN,Wheel Creek Hut,Buildings,Basic Hut/bivvy,172.131761739,-42.070756958
"POINT (172.10810560892 -42.2044097567456)",OPEN,Top Waitahu Bivvy,Buildings,Basic Hut/bivvy,172.108105609,-42.2044097567
"POINT (171.710784114463 -42.8575300154561)",OPEN,Otehake Hut,Buildings,Standard Hut,171.710784114,-42.8575300155
"POINT (171.743228120015 -42.7568881837662)",OPEN,Kiwi Hut,Buildings,Standard Hut,171.74322812,-42.7568881838
"POINT (171.777520321133 -42.7741983784166)",OPEN,Townsend Hut,Buildings,Basic Hut/bivvy,171.777520321,-42.7741983784
"POINT (171.165441705102 -42.971817134734)",OPEN,Adventure Bivvy,Buildings,Basic Hut/bivvy,171.165441705,-42.9718171347
"POINT (171.501318138533 -42.8408323833431)",OPEN,Hunts Creek Hut,Buildings,Standard Hut,171.501318139,-42.8408323833
"POINT (171.148893006257 -42.984292391642)",OPEN,Yeats Ridge Hut,Buildings,Basic Hut/bivvy,171.148893006,-42.9842923916
"POINT (172.255209371428 -42.4371228515278)",OPEN,Lake Christabel Hut,Buildings,Standard Hut,172.255209371,-42.4371228515
"POINT (171.894197505436 -42.6895813550219)",OPEN,Mid Trent Hut,Buildings,Standard Hut,171.894197505,-42.689581355
"POINT (171.19828665197 -42.9283503475861)",OPEN,Boo Boo Hut,Buildings,Basic Hut/bivvy,171.198286652,-42.9283503476
"POINT (171.665266405374 -42.8033555605496)",OPEN,Pfeifer Bivvy,Buildings,Basic Hut/bivvy,171.665266405,-42.8033555605
"POINT (171.188962747181 -42.9830516086213)",OPEN,Top Kokatahi Hut,Buildings,Basic Hut/bivvy,171.188962747,-42.9830516086
"POINT (171.291909617427 -42.8919022490257)",OPEN,Grassy Flat Hut,Buildings,Standard Hut,171.291909617,-42.891902249
"POINT (170.233737943555 -43.5111725314139)",OPEN,Centennial Hut,Buildings,Serviced-Alpine Hut,170.233737944,-43.5111725314
"POINT (171.972026468073 -42.6142907514313)",OPEN,Tutaekuri Hut,Buildings,Standard Hut,171.972026468,-42.6142907514
"POINT (171.629012889371 -41.8744559544877)",OPEN,Buckland Peaks Hut,Buildings,Standard Hut,171.629012889,-41.8744559545
"POINT (170.402743898347 -43.3554284142764)",OPEN,Stan's Hut,Buildings,Standard Hut,170.402743898,-43.3554284143
"POINT (170.982419777718 -43.1803712079323)",OPEN,Neave Hut,Buildings,Standard Hut,170.982419778,-43.1803712079
"POINT (171.412861950565 -42.8072217967954)",OPEN,Scottys Bivvy,Buildings,Basic Hut/bivvy,171.412861951,-42.8072217968
"POINT (171.709337566565 -42.6633597445312)",OPEN,Lake Morgan Hut,Buildings,Basic Hut/bivvy,171.709337567,-42.6633597445
"POINT (171.691028264713 -42.7043516472204)",OPEN,Top Crooked Hut,Buildings,Basic Hut/bivvy,171.691028265,-42.7043516472
"POINT (171.092060921857 -43.0780341733347)",OPEN,Frew Saddle Bivvy,Buildings,Basic Hut/bivvy,171.092060922,-43.0780341733
"POINT (171.155192463577 -43.0586200918784)",OPEN,Sir Robert Hut,Buildings,Basic Hut/bivvy,171.155192464,-43.0586200919
"POINT (170.934289587758 -43.0030228529377)",OPEN,Explorer Hut,Buildings,Basic Hut/bivvy,170.934289588,-43.0030228529
"POINT (171.110889948876 -43.0317115078951)",OPEN,Frisco Hut,Buildings,Basic Hut/bivvy,171.110889949,-43.0317115079
"POINT (171.17879356106 -42.9382262903102)",OPEN,Pinnacle Bivvy,Buildings,Basic Hut/bivvy,171.178793561,-42.9382262903
"POINT (170.850326595312 -43.1581458321062)",OPEN,County Stream Hut,Buildings,Basic Hut/bivvy,170.850326595,-43.1581458321
"POINT (171.079931124389 -43.0136819882291)",OPEN,Serpentine Hut,Buildings,Basic Hut/bivvy,171.079931124,-43.0136819882
"POINT (171.382544540232 -42.7977923536856)",OPEN,Griffin Creek Hut,Buildings,Basic Hut/bivvy,171.38254454,-42.7977923537
"POINT (171.409248873206 -42.7864238103301)",OPEN,Rocky Creek Biv,Buildings,Basic Hut/bivvy,171.409248873,-42.7864238103
"POINT (170.746614320708 -43.135430193585)",OPEN,Kiwi Flat Hut,Buildings,Basic Hut/bivvy,170.746614321,-43.1354301936
"POINT (170.91261367518 -43.1349875981828)",OPEN,Ivory Lake Hut,Buildings,Basic Hut/bivvy,170.912613675,-43.1349875982
"POINT (170.876430979475 -43.1313860556606)",OPEN,Top Waitaha Hut,Buildings,Basic Hut/bivvy,170.876430979,-43.1313860557
"POINT (171.096342689049 -42.9729846410003)",OPEN,Gerhardt Spur Bivvy,Buildings,Basic Hut/bivvy,171.096342689,-42.972984641
"POINT (170.91106375377 -43.0500915415717)",OPEN,Healey Creek Hut,Buildings,Basic Hut/bivvy,170.911063754,-43.0500915416
"POINT (171.340334733835 -42.82149297883)",OPEN,Top Olderog Bivvy,Buildings,Basic Hut/bivvy,171.340334734,-42.8214929788
"POINT (171.377735963252 -42.8409397677277)",OPEN,Newton Creek Hut,Buildings,Basic Hut/bivvy,171.377735963,-42.8409397677
"POINT (171.630729872953 -42.7079241131649)",OPEN,Jacko Flat Hut,Buildings,Basic Hut/bivvy,171.630729873,-42.7079241132
"POINT (171.123519829341 -42.9958734356116)",OPEN,Mullins Hut,Buildings,Basic Hut/bivvy,171.123519829,-42.9958734356
"POINT (170.481692152787 -43.3494336907588)",OPEN,Nolans Hut,Buildings,Basic Hut/bivvy,170.481692153,-43.3494336908
"POINT (171.853950993588 -42.6144671642561)",OPEN,Waikiti Hut,Buildings,Basic Hut/bivvy,171.853950994,-42.6144671643
"POINT (171.832959279021 -42.6997262073642)",OPEN,Top Trent (Lagoon) Hut,Buildings,Basic Hut/bivvy,171.832959279,-42.6997262074
"POINT (171.443304135214 -42.8500628246005)",OPEN,Mid Taipo Hut,Buildings,Standard Hut,171.443304135,-42.8500628246
"POINT (171.48558877937 -42.7839019937311)",OPEN,Dillons Homestead Hut (1945),Buildings,Basic Hut/bivvy,171.485588779,-42.7839019937
"POINT (172.132126983651 -42.2477247568911)",OPEN,Lake Stream Hut,Buildings,Basic Hut/bivvy,172.132126984,-42.2477247569
"POINT (171.425235061787 -42.8974342868399)",OPEN,Julia Hut (old 1958),Buildings,Basic Hut/bivvy,171.425235062,-42.8974342868
"POINT (171.424010692965 -42.8974174348392)",OPEN,Julia Hut,Buildings,Standard Hut,171.424010693,-42.8974174348
"POINT (170.989336278331 -43.1570814176995)",OPEN,Wilkinson Hut,Buildings,Basic Hut/bivvy,170.989336278,-43.1570814177
"POINT (170.165914195647 -43.4536870842399)",OPEN,Castle Rocks Hut,Buildings,Standard Hut,170.165914196,-43.4536870842
"POINT (171.144325626726 -42.9628410372787)",OPEN,Cedar Flat Hut (Historic),Buildings,Basic Hut/bivvy,171.144325627,-42.9628410373
"POINT (171.245264054887 -42.8956990810424)",OPEN,Mid Styx Hut,Buildings,Basic Hut/bivvy,171.245264055,-42.895699081
"POINT (171.552637834539 -42.791081864792)",OPEN,Carroll Hut,Buildings,Standard Hut,171.552637835,-42.7910818648
"POINT (170.208169858629 -43.4754360426321)",OPEN,Almer Hut,Buildings,Serviced-Alpine Hut,170.208169859,-43.4754360426
"POINT (170.874867193754 -43.0234465642551)",OPEN,Mikonui Flat Hut,Buildings,Standard Hut,170.874867194,-43.0234465643
"POINT (171.730542876638 -42.4344760190154)",OPEN,Jim's Flat Hut,Buildings,Basic Hut/bivvy,171.730542877,-42.434476019
"POINT (171.391852701262 -42.2934264905597)",OPEN,Croesus Top Hut,Buildings,Basic Hut/bivvy,171.391852701,-42.2934264906
"POINT (171.368273003542 -42.875015401231)",OPEN,Mudflats Hut,Buildings,Standard Hut,171.368273004,-42.8750154012
"POINT (171.143814171064 -42.962724684246)",OPEN,Cedar Flat Hut,Buildings,Standard Hut,171.143814171,-42.9627246842
"POINT (171.011176451883 -43.0114269082224)",OPEN,Rapid Creek Hut,Buildings,Standard Hut,171.011176452,-43.0114269082
"POINT (171.00684984296 -43.1105644853023)",OPEN,Price Flat Hut,Buildings,Standard Hut,171.006849843,-43.1105644853
"POINT (171.15221097871 -43.0356370312578)",OPEN,Poet Hut,Buildings,Standard Hut,171.152210979,-43.0356370313
"POINT (171.153933153008 -43.0134051597229)",OPEN,Top Toaroha Hut,Buildings,Standard Hut,171.153933153,-43.0134051597
"POINT (172.17941421086 -42.478185368487)",OPEN,Top Robinson Hut,Buildings,Standard Hut,172.179414211,-42.4781853685
"POINT (171.006058644713 -43.1065436708319)",OPEN,Price Flat Hut (Historic 1949),Buildings,Basic Hut/bivvy,171.006058645,-43.1065436708
"POINT (171.321769617987 -42.9193588275919)",OPEN,Harman Hut,Buildings,Standard Hut,171.321769618,-42.9193588276
"POINT (172.009896018757 -42.1030848744901)",OPEN,Kirwans Hut,Buildings,Serviced Hut,172.009896019,-42.1030848745
"POINT (171.892789982354 -42.2446371991462)",OPEN,Big River Hut,Buildings,Serviced Hut,171.892789982,-42.2446371991
"POINT (172.084148105354 -42.4994107981268)",OPEN,Mid Robinson Hut,Buildings,Standard Hut,172.084148105,-42.4994107981
"POINT (171.196254286442 -43.0260204595408)",OPEN,Mungo Hut,Buildings,Basic Hut/bivvy,171.196254286,-43.0260204595
"POINT (170.181150390093 -43.5307937352955)",OPEN,Pioneer Hut,Buildings,Serviced-Alpine Hut,170.18115039,-43.5307937353
"POINT (171.152677481999 -42.9963479069658)",OPEN,Crystal Bivvy,Buildings,Basic Hut/bivvy,171.152677482,-42.996347907
"POINT (170.889225268167 -43.0896799157824)",OPEN,Top Tuke Hut,Buildings,Basic Hut/bivvy,170.889225268,-43.0896799158
"POINT (170.963538361968 -43.1309621902465)",OPEN,Price Basin Hut,Buildings,Basic Hut/bivvy,170.963538362,-43.1309621902
"POINT (171.428726012447 -42.8346900910462)",OPEN,Dunns Creek Hut,Buildings,Basic Hut/bivvy,171.428726012,-42.834690091
"POINT (172.275689154481 -41.238236263705)",OPEN,Greys Hut,Buildings,Basic Hut/bivvy,172.275689154,-41.2382362637
"POINT (170.414125969026 -43.4084226704374)",OPEN,Butler Junction Hut,Buildings,Standard Hut,170.414125969,-43.4084226704
"POINT (170.439543603865 -43.420700062776)",OPEN,Top Butler Hut,Buildings,Standard Hut,170.439543604,-43.4207000628
"POINT (170.107574687996 -43.5107492081901)",OPEN,Chancellor Hut,Buildings,Serviced-Alpine Hut,170.107574688,-43.5107492082
"POINT (170.848513042429 -43.2094367417523)",OPEN,Smyth Hut,Buildings,Standard Hut,170.848513042,-43.2094367418
"POINT (170.751868796455 -43.2264775825654)",OPEN,Hunters Hut,Buildings,Standard Hut,170.751868796,-43.2264775826
"POINT (171.166520694981 -43.0242061365346)",OPEN,Toaroha Saddle Bivvy,Buildings,Basic Hut/bivvy,171.166520695,-43.0242061365
"POINT (171.997493161889 -42.1495308910505)",OPEN,Montgomerie Hut,Buildings,Standard Hut,171.997493162,-42.1495308911
"POINT (172.084626644773 -42.545010699578)",OPEN,Slaty Creek Hut,Buildings,Basic Hut/bivvy,172.084626645,-42.5450106996
"POINT (171.733220286417 -42.6824206973763)",OPEN,Cone Creek Hut,Buildings,Basic Hut/bivvy,171.733220286,-42.6824206974
"POINT (171.783673405099 -42.6883348495785)",OPEN,Elizabeth Hut,Buildings,Standard Hut,171.783673405,-42.6883348496
"POINT (171.830155321462 -42.7398075649852)",OPEN,Locke Stream Hut,Buildings,Standard Hut,171.830155321,-42.739807565
"POINT (171.734354741651 -42.8121637780893)",OPEN,Koropuku Hut,Buildings,Basic Hut/bivvy,171.734354742,-42.8121637781
"POINT (171.126955231763 -43.0467073234773)",OPEN,Bluff Hut,Buildings,Standard Hut,171.126955232,-43.0467073235
"POINT (171.30024314148 -42.8560153625585)",OPEN,Lower Arahura Hut,Buildings,Standard Hut,171.300243141,-42.8560153626
"POINT (171.278447127568 -42.9351403016265)",OPEN,Top Crawford Hut,Buildings,Basic Hut/bivvy,171.278447128,-42.9351403016
"POINT (171.200364015892 -42.8691847071707)",OPEN,Mt Brown Hut,Buildings,Basic Hut/bivvy,171.200364016,-42.8691847072
"POINT (171.561311960856 -42.7058123229544)",OPEN,Camp Creek Hut,Buildings,Basic Hut/bivvy,171.561311961,-42.705812323
"POINT (169.167801305688 -43.8225621549868)",OPEN,Coppermine Creek Hut,Buildings,Standard Hut,169.167801306,-43.822562155
"POINT (168.311119323435 -44.1656272253532)",OPEN,Spoon Hut,Buildings,Basic Hut/bivvy,168.311119323,-44.1656272254
"POINT (168.194029370551 -44.1838142655313)",OPEN,Gorge River Hut,Buildings,Standard Hut,168.194029371,-44.1838142655
"POINT (169.345996420749 -43.7925386365383)",OPEN,Blue River (Blowfly) Hut,Buildings,Standard Hut,169.345996421,-43.7925386365
"POINT (169.537018318991 -43.8184267436717)",OPEN,Tunnel Creek Hut,Buildings,Basic Hut/bivvy,169.537018319,-43.8184267437
"POINT (169.274191185504 -43.8142012119643)",OPEN,Maori Saddle Hut,Buildings,Standard Hut,169.274191186,-43.814201212
"POINT (168.545159546002 -43.9961335926337)",OPEN,Stafford Hut,Buildings,Standard Hut,168.545159546,-43.9961335926
"POINT (172.147913468273 -40.9400988168201)",OPEN,Lewis Hut,Buildings,Great Walk Hut,172.147913468,-40.9400988168
"POINT (170.075308423132 -45.4357855282758)",OPEN,Big Hut,Buildings,Basic Hut/bivvy,170.075308423,-45.4357855283
"POINT (169.070434859299 -45.2081295530054)",OPEN,Old Woman Hut,Buildings,Standard Hut,169.070434859,-45.208129553
"POINT (169.184297881598 -45.5107772521225)",OPEN,Junction Hut,Buildings,Standard Hut,169.184297882,-45.5107772521
"POINT (169.145033807594 -45.3299570376766)",OPEN,Boundary Hut,Buildings,Basic Hut/bivvy,169.145033808,-45.3299570377
"POINT (169.18609923942 -45.3529505898878)",OPEN,Nicholsons Hut,Buildings,Basic Hut/bivvy,169.186099239,-45.3529505899
"POINT (169.660136159924 -44.8454582055444)",OPEN,Lauder Basin Hut,Buildings,Basic Hut/bivvy,169.66013616,-44.8454582055
"POINT (169.808020999317 -44.6746715555959)",OPEN,Top Hut,Buildings,Standard Hut,169.808020999,-44.6746715556
"POINT (169.854863888497 -44.7287436229174)",OPEN,Boundary Creek Hut,Buildings,Standard Hut,169.854863888,-44.7287436229
"POINT (170.157709749099 -44.8495584602337)",OPEN,Ida Railway Hut,Buildings,Standard Hut,170.157709749,-44.8495584602
"POINT (170.240657576451 -44.8573196502412)",OPEN,Tailings Hut,Buildings,Standard Hut,170.240657576,-44.8573196502
"POINT (170.263612897672 -44.9219759948718)",OPEN,Buster Hut,Buildings,Basic Hut/bivvy,170.263612898,-44.9219759949
"POINT (170.264641412673 -44.8885671068825)",OPEN,Brown Hut,Buildings,Basic Hut/bivvy,170.264641413,-44.8885671069
"POINT (170.279545026027 -44.8332634629898)",OPEN,Hut Creek Hut,Buildings,Basic Hut/bivvy,170.279545026,-44.833263463
"POINT (176.017857559449 -39.9546143681767)",OPEN,Alice Nash Memorial Heritage Lodge,Buildings,Standard Hut,176.017857559,-39.9546143682
"POINT (175.306219016769 -40.8309432030932)",OPEN,Waitewaewae Hut,Buildings,Standard Hut,175.306219017,-40.8309432031
"POINT (169.455251513986 -43.8236864283616)",OPEN,Middle Head Hut,Buildings,Basic Hut/bivvy,169.455251514,-43.8236864284
"POINT (169.195091886843 -43.8937341948334)",OPEN,Thomas River Hut,Buildings,Basic Hut/bivvy,169.195091887,-43.8937341948
"POINT (169.322093423321 -43.8950982466859)",OPEN,Roaring Billy Hut,Buildings,Basic Hut/bivvy,169.322093423,-43.8950982467
"POINT (171.391927273638 -42.2938328003985)",OPEN,Ces Clark Hut,Buildings,Serviced Hut,171.391927274,-42.2938328004
"POINT (168.374495978073 -44.5481488396691)",OPEN,Daleys Flat Hut,Buildings,Serviced Hut,168.374495978,-44.5481488397
"POINT (172.768776294479 -41.9746544836821)",OPEN,John Tait Hut,Buildings,Serviced Hut,172.768776294,-41.9746544837
"POINT (169.88487536918 -43.6113601356319)",OPEN,Architect Creek Hut,Buildings,Standard Hut,169.884875369,-43.6113601356
"POINT (170.018939655528 -43.6526626356026)",OPEN,Douglas Rock Hut,Buildings,Standard Hut,170.018939656,-43.6526626356
"POINT (168.028303993805 -45.2582917866492)",OPEN,Army Hut,Buildings,Basic Hut/bivvy,168.028303994,-45.2582917866
"POINT (168.135466601161 -44.8157025508436)",OPEN,Lake Howden Hut,Buildings,Great Walk Hut,168.135466601,-44.8157025508
"POINT (169.946466307593 -43.6305712084752)",OPEN,Welcome Flat Hut,Buildings,Serviced Hut,169.946466308,-43.6305712085
"POINT (168.360160288024 -45.4731165827363)",OPEN,Cromel Branch Hut,Buildings,Basic Hut/bivvy,168.360160288,-45.4731165827
"POINT (175.447613943311 -39.0166528581555)",OPEN,Ten Man Hut,Buildings,Basic Hut/bivvy,175.447613943,-39.0166528582
"POINT (174.331011765279 -35.1726894813286)",OPEN,Cape Brett Hut,Buildings,Serviced Hut,174.331011765,-35.1726894813
"POINT (173.79390203977 -35.2112233241505)",OPEN,PUKETI TRAMPERS HUT,Buildings,Serviced Hut,173.79390204,-35.2112233242
"POINT (174.566218467516 -35.8572953353792)",OPEN,Peach Cove Hut,Buildings,Serviced Hut,174.566218468,-35.8572953354
"POINT (173.938054811854 -35.0070782850286)",OPEN,Motukawanui Hut,Buildings,Serviced Hut,173.938054812,-35.007078285
"POINT (174.11045161713 -35.8504273138151)",OPEN,Tangihua Hut,Buildings,Standard Hut,174.110451617,-35.8504273138
"POINT (173.730938053113 -35.0122353834911)",OPEN,LANE COVE HUT,Buildings,Serviced Hut,173.730938053,-35.0122353835
"POINT (173.472872119196 -35.5120350911162)",OPEN,Frampton's Hut,Buildings,Standard Hut,173.472872119,-35.5120350911
"POINT (175.600886083563 -38.6950346365501)",OPEN,Waihaha Hut,Buildings,Standard Hut,175.600886084,-38.6950346366
"POINT (174.720208764347 -38.9344476198881)",OPEN,Rerekapa Hut,Buildings,Basic Hut/bivvy,174.720208764,-38.9344476199
"POINT (174.777481552526 -38.4315025405163)",OPEN,Leitchs Hut,Buildings,Standard Hut,174.777481553,-38.4315025405
"POINT (174.037443926147 -39.2351256033668)",OPEN,Pouakai Hut,Buildings,Serviced Hut,174.037443926,-39.2351256034
"POINT (174.06632770547 -39.3084544904558)",OPEN,Syme Hut,Buildings,Standard Hut,174.066327705,-39.3084544905
"POINT (174.001651474337 -39.326176126948)",OPEN,Waiaua Gorge Hut,Buildings,Serviced Hut,174.001651474,-39.3261761269
"POINT (174.014578435159 -39.2942477561302)",OPEN,Kahui Hut,Buildings,Standard Hut,174.014578435,-39.2942477561
"POINT (174.060679236753 -39.3361054091228)",OPEN,Lake Dive Hut,Buildings,Serviced Hut,174.060679237,-39.3361054091
"POINT (174.110390647375 -39.3187290130136)",OPEN,Waingongoro Hut,Buildings,Serviced Hut,174.110390647,-39.318729013
"POINT (174.099033854782 -39.281641205591)",OPEN,Maketawa Hut,Buildings,Serviced Hut,174.099033855,-39.2816412056
"POINT (174.045934739163 -39.2654065966454)",OPEN,Holly Hut,Buildings,Serviced Hut,174.045934739,-39.2654065966
"POINT (167.943011068968 -44.4890629620023)",OPEN,Kaipo Hut,Buildings,Basic Hut/bivvy,167.943011069,-44.489062962
"POINT (168.213989135924 -44.4436942012374)",OPEN,Olivine Hut,Buildings,Standard Hut,168.213989136,-44.4436942012
"POINT (167.951586794097 -45.5933130397733)",OPEN,Lower Princhester Hut,Buildings,Standard Hut,167.951586794,-45.5933130398
"POINT (172.524725150298 -42.1331753940026)",OPEN,Downie Hut,Buildings,Basic Hut/bivvy,172.52472515,-42.133175394
"POINT (172.178657178175 -41.5481817502386)",OPEN,OGR - Mokihinui Forks Hut,Buildings,Standard Hut,172.178657178,-41.5481817502
"POINT (172.152216448353 -41.5447021947995)",OPEN,OGR - Specimen Point Hut,Buildings,Standard Hut,172.152216448,-41.5447021948
"POINT (172.198860385084 -41.6636342271429)",OPEN,OGR - Stern Valley Hut,Buildings,Standard Hut,172.198860385,-41.6636342271
"POINT (172.099262078965 -41.7238383153383)",OPEN,OGR - Lyell Saddle Hut,Buildings,Standard Hut,172.099262079,-41.7238383153
"POINT (172.660318679187 -42.3160074426688)",OPEN,Stanley Vale Hut,Buildings,Basic Hut/bivvy,172.660318679,-42.3160074427
"POINT (167.831410723205 -46.7044199833989)",OPEN,Smoky Hunter Hut,Buildings,Basic Hut/bivvy,167.831410723,-46.7044199834
"POINT (168.071734341925 -46.9544721034977)",OPEN,HAPUATUNA HUNTERS HUT,Buildings,Basic Hut/bivvy,168.071734342,-46.9544721035
"POINT (170.076719530526 -43.6882342664192)",OPEN,Sefton Bivvy,Buildings,Basic Hut/bivvy,170.076719531,-43.6882342664
"POINT (170.116612879519 -44.8512190373749)",OPEN,Wire Yards Hut,Buildings,Basic Hut/bivvy,170.11661288,-44.8512190374
"POINT (172.19887933011 -41.6058715867382)",OPEN,OGR - Goat Creek Hut,Buildings,Basic Hut/bivvy,172.19887933,-41.6058715867
"POINT (172.159073526844 -41.6999816972666)",OPEN,OGR - Ghost Lake Hut,Buildings,Standard Hut,172.159073527,-41.6999816973
"POINT (168.002041789812 -44.3346163356342)",OPEN, Martins Bay Hut,Buildings,Serviced Hut,168.00204179,-44.3346163356
"POINT (168.073181931882 -44.4939924255383)",OPEN,Demon Trail Hut,Buildings,Serviced Hut,168.073181932,-44.4939924255
"POINT (175.628788778794 -38.5831662094343)",OPEN,Bog Inn Hut,Buildings,Standard Hut,175.628788779,-38.5831662094
"POINT (172.536167848764 -41.0661949842015)",OPEN,TENT CAMP,Buildings,Basic Hut/bivvy,172.536167849,-41.0661949842
"POINT (176.212177937051 -39.7144453848525)",OPEN,Barlow Hut,Buildings,Standard Hut,176.212177937,-39.7144453849
"POINT (176.19717700669 -39.7618256211642)",OPEN,Gold Creek Hut,Buildings,Basic Hut/bivvy,176.197177007,-39.7618256212
"POINT (176.129715887855 -39.7546043577333)",OPEN,Wakelings Hut,Buildings,Standard Hut,176.129715888,-39.7546043577
"POINT (176.086186107247 -39.703642817915)",OPEN,Otukota Hut,Buildings,Standard Hut,176.086186107,-39.7036428179
"POINT (176.094749342697 -39.7816382685302)",OPEN,McKinnon Hut,Buildings,Standard Hut,176.094749343,-39.7816382685
