WKT,STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y
"POINT (173.175880173675 -41.6125726285937)",OPEN,Lower Goulter Hut,Buildings,Standard Hut,173.175880174,-41.6125726286
"POINT (173.235498544318 -41.5805260988937)",OPEN,Mid Goulter Hut,Buildings,Standard Hut,173.235498544,-41.5805260989
"POINT (172.799573617434 -42.0340031901957)",OPEN,Begley Hut,Buildings,Standard Hut,172.799573617,-42.0340031902
"POINT (169.83642935442 -43.9221269389739)",OPEN,CULLERS HUT,Buildings,Standard Hut,169.836429354,-43.922126939
"POINT (169.729035599191 -43.9750090371965)",OPEN,Brodrick Hut,Buildings,Standard Hut,169.729035599,-43.9750090372
"POINT (169.741041793707 -44.0469081128185)",OPEN,SOUTH HUXLEY BIV,Buildings,Basic Hut/bivvy,169.741041794,-44.0469081128
"POINT (169.622967908065 -44.2072097077943)",OPEN,Shamrock Hut,Buildings,Basic Hut/bivvy,169.622967908,-44.2072097078
"POINT (169.639606544096 -44.155421857113)",OPEN,Hagens Hut,Buildings,Standard Hut,169.639606544,-44.1554218571
"POINT (169.963718952076 -43.879964327533)",OPEN,Kennedy Memorial Hut,Buildings,Standard Hut,169.963718952,-43.8799643275
"POINT (169.946666797055 -43.9327722369588)",OPEN,Grough Hut,Buildings,Basic Hut/bivvy,169.946666797,-43.932772237
"POINT (169.501393978711 -44.4704820938348)",OPEN,Top Timaru Hut,Buildings,Standard Hut,169.501393979,-44.4704820938
"POINT (169.742916237528 -44.2165842444643)",OPEN,Maitland Hut,Buildings,Standard Hut,169.742916238,-44.2165842445
"POINT (173.220618616718 -41.519224446394)",OPEN,Mt Rintoul Hut,Buildings,Standard Hut,173.220618617,-41.5192244464
"POINT (173.168029229412 -41.5518299955729)",OPEN,Tarn Hut,Buildings,Standard Hut,173.168029229,-41.5518299956
"POINT (173.435257104561 -41.374240110589)",OPEN,Captains Creek Hut,Buildings,Standard Hut,173.435257105,-41.3742401106
"POINT (173.354919164862 -41.3671927239954)",OPEN,Rocks Hut,Buildings,Standard Hut,173.354919165,-41.367192724
"POINT (172.605864870505 -42.1082106858165)",OPEN,Upper D'Urville Hut,Buildings,Basic Hut/bivvy,172.605864871,-42.1082106858
"POINT (172.756488679018 -41.9303880022414)",OPEN,Hopeless Hut,Buildings,Standard Hut,172.756488679,-41.9303880022
"POINT (172.581995585924 -41.9079718898404)",OPEN,Tiraumea Hut,Buildings,Standard Hut,172.581995586,-41.9079718898
"POINT (167.34942097073 -45.8342977776441)",OPEN,Monowai Hut,Buildings,Standard Hut,167.349420971,-45.8342977776
"POINT (170.098456302469 -43.654809432616)",OPEN,Copland Shelter,Buildings,Basic Hut/bivvy,170.098456302,-43.6548094326
"POINT (173.319648606898 -41.56763163366)",OPEN,Lake Chalice Hut,Buildings,Standard Hut,173.319648607,-41.5676316337
"POINT (173.270884426629 -41.5252240587762)",OPEN,Old Man Hut,Buildings,Standard Hut,173.270884427,-41.5252240588
"POINT (172.669498745974 -41.9330887566796)",OPEN,Mount Misery Hut,Buildings,Basic Hut/bivvy,172.669498746,-41.9330887567
"POINT (172.605047290377 -42.0469815292306)",OPEN,George Lyon (formerly Ella) Hut,Buildings,Standard Hut,172.60504729,-42.0469815292
"POINT (173.489620230704 -41.4460820805544)",OPEN,Fishtail Hut,Buildings,Standard Hut,173.489620231,-41.4460820806
"POINT (172.974737958214 -41.9432529089436)",OPEN,Lees Creek Hut,Buildings,Standard Hut,172.974737958,-41.9432529089
"POINT (172.511521422677 -41.5236499763786)",OPEN,Branch Creek Hut,Buildings,Standard Hut,172.511521423,-41.5236499764
"POINT (172.556882887688 -42.1944574280241)",OPEN,East Matakitaki Hut,Buildings,Standard Hut,172.556882888,-42.194457428
"POINT (172.571701541174 -41.9616231517519)",OPEN,Mole Hut,Buildings,Standard Hut,172.571701541,-41.9616231518
"POINT (172.382667929827 -41.5067721825671)",OPEN,Hurricane Hut,Buildings,Standard Hut,172.38266793,-41.5067721826
"POINT (172.63007132492 -41.9825594670446)",OPEN,Morgan Hut,Buildings,Standard Hut,172.630071325,-41.982559467
"POINT (167.486112334501 -45.6858677293197)",OPEN,North Borland Hut,Buildings,Basic Hut/bivvy,167.486112335,-45.6858677293
"POINT (170.965360888849 -43.2686090147114)",OPEN,Louper Bivvy,Buildings,Basic Hut/bivvy,170.965360889,-43.2686090147
"POINT (170.482120835455 -43.5192660175322)",OPEN,Eade Memorial Hut,Buildings,Basic Hut/bivvy,170.482120835,-43.5192660175
"POINT (169.833487891229 -43.9990575514897)",OPEN,Red Hut,Buildings,Standard Hut,169.833487891,-43.9990575515
"POINT (169.916223717101 -43.846387876014)",OPEN,Erceg Hut,Buildings,Basic Hut/bivvy,169.916223717,-43.846387876
"POINT (167.979415141631 -46.7439174234485)",OPEN,CHRISTMAS VILLAGE HUT,Buildings,Standard Hut,167.979415142,-46.7439174234
"POINT (167.888210886429 -46.6947454102216)",OPEN,YANKEE RIVER HUT,Buildings,Standard Hut,167.888210886,-46.6947454102
"POINT (167.807630604539 -46.6944020254328)",OPEN,LONG HARRY HUT,Buildings,Standard Hut,167.807630605,-46.6944020254
"POINT (167.400031610535 -45.785513571578)",OPEN,Green Lake Hut,Buildings,Standard Hut,167.400031611,-45.7855135716
"POINT (167.331364456007 -45.7923246898551)",OPEN,Clark Hut - A Frame,Buildings,Basic Hut/bivvy,167.331364456,-45.7923246899
"POINT (169.538003991085 -44.1579932666956)",OPEN,Bull Flat Hut,Buildings,Basic Hut/bivvy,169.538003991,-44.1579932667
"POINT (168.694543437341 -44.3720804176317)",OPEN,Colin Todd Hut,Buildings,Serviced-Alpine Hut,168.694543437,-44.3720804176
"POINT (167.31850972671 -45.7844915715281)",OPEN,Historic Clark Hut,Buildings,Basic Hut/bivvy,167.318509727,-45.7844915715
"POINT (170.360578928148 -43.5185219156728)",OPEN,Kelman Hut,Buildings,Serviced-Alpine Hut,170.360578928,-43.5185219157
"POINT (169.812212646682 -44.023682765184)",OPEN,Monument Hut,Buildings,Standard Hut,169.812212647,-44.0236827652
"POINT (169.999975426394 -43.7591715188671)",OPEN,Barron Saddle Hut,Buildings,Serviced-Alpine Hut,169.999975426,-43.7591715189
"POINT (170.121766202349 -43.5946523024879)",OPEN,Empress Hut,Buildings,Serviced-Alpine Hut,170.121766202,-43.5946523025
"POINT (173.679174491047 -41.409269345558)",OPEN,Mt Sunday Bivvy,Buildings,Basic Hut/bivvy,173.679174491,-41.4092693456
"POINT (168.665284069161 -44.4311972735241)",OPEN,Liverpool Hut,Buildings,Serviced-Alpine Hut,168.665284069,-44.4311972735
"POINT (168.984674332071 -44.739759610239)",OPEN,Fern Burn Hut,Buildings,Standard Hut,168.984674332,-44.7397596102
"POINT (167.443141540777 -45.8574345412186)",OPEN,Rodger Inlet Hut,Buildings,Standard Hut,167.443141541,-45.8574345412
"POINT (172.74869337786 -41.8882463974779)",OPEN,Angelus Hut,Buildings,Serviced Hut,172.748693378,-41.8882463975
"POINT (170.80987997675 -43.5841107134592)",OPEN,Dog Kennel Bivvy,Buildings,Basic Hut/bivvy,170.809879977,-43.5841107135
"POINT (169.435642490759 -44.5442737387938)",OPEN,Stodys Hut,Buildings,Basic Hut/bivvy,169.435642491,-44.5442737388
"POINT (169.35616654956 -44.5816608419048)",OPEN,Pakituhi Hut,Buildings,Standard Hut,169.35616655,-44.5816608419
"POINT (170.190840649768 -43.624742166112)",OPEN,Ball Hut,Buildings,Standard Hut,170.19084065,-43.6247421661
"POINT (169.061574523493 -44.2047488990301)",OPEN,Siberia Hut,Buildings,Serviced Hut,169.061574523,-44.204748899
"POINT (168.153983566149 -46.9742561642958)",OPEN,LITTLE GLORY HUNTERS HUT,Buildings,Basic Hut/bivvy,168.153983566,-46.9742561643
"POINT (176.175728332427 -39.7989409270305)",OPEN,Waipawa Forks Hut,Buildings,Standard Hut,176.175728332,-39.798940927
"POINT (172.156612423961 -42.9015214859911)",OPEN,Anderson's Hut,Buildings,Basic Hut/bivvy,172.156612424,-42.901521486
"POINT (171.260708244385 -43.1291405174001)",OPEN,Moa Stream Hut,Buildings,Basic Hut/bivvy,171.260708244,-43.1291405174
"POINT (172.007479567901 -42.9344100074758)",OPEN,Lochinvar Hut,Buildings,Standard Hut,172.007479568,-42.9344100075
"POINT (171.783124296073 -42.851270777103)",OPEN,Worsley Bivvy,Buildings,Basic Hut/bivvy,171.783124296,-42.8512707771
"POINT (172.222413031488 -42.8957737652469)",OPEN,Esk Bivvy,Buildings,Basic Hut/bivvy,172.222413031,-42.8957737652
"POINT (172.096158770546 -42.8674527779841)",OPEN,Ant Stream Bivvy,Buildings,Basic Hut/bivvy,172.096158771,-42.867452778
"POINT (172.337399806991 -43.1294661001794)",OPEN,Pinchgut Hut,Buildings,Standard Hut,172.337399807,-43.1294661002
"POINT (167.493642462232 -45.1502677693755)",OPEN,Junction Burn Hut,Buildings,Standard Hut,167.493642462,-45.1502677694
"POINT (168.062696382924 -44.5186274742281)",OPEN,McKerrow Island Hut,Buildings,Standard Hut,168.062696383,-44.5186274742
"POINT (176.144083040494 -39.8836912698469)",OPEN,Tarn Bivvy,Buildings,Basic Hut/bivvy,176.14408304,-39.8836912698
"POINT (167.929691212606 -45.6713218776863)",OPEN,Aparima Forks Hut,Buildings,Basic Hut/bivvy,167.929691213,-45.6713218777
"POINT (169.160674976482 -44.8710043608593)",OPEN,Kirtle Burn Hut,Buildings,Standard Hut,169.160674976,-44.8710043609
"POINT (169.120695088852 -44.9571416300854)",OPEN,Deep Creek Hut,Buildings,Basic Hut/bivvy,169.120695089,-44.9571416301
"POINT (167.667893713833 -47.1942936529723)",OPEN,NORTH PEGASUS HUNTERS HUT,Buildings,Basic Hut/bivvy,167.667893714,-47.194293653
"POINT (167.638114066246 -47.1982196791243)",OPEN,SOUTH PEGASUS HUNTERS HUT,Buildings,Basic Hut/bivvy,167.638114066,-47.1982196791
"POINT (168.124425381875 -46.9594877682876)",OPEN,NORTH BIG GLORY HUNTERS HUT,Buildings,Basic Hut/bivvy,168.124425382,-46.9594877683
